#	<x>	stDevX	<E>	stDevE
0	0.140913	-nan	-0.298915	-nan
380	0.00957452	1.32558	0.491343	8.81595
381	0.0101916	1.32437	0.491766	8.82956
382	0.0108666	1.3232	0.492761	8.84321
383	0.00960244	1.32197	0.493156	8.85685
384	0.00665752	1.32059	0.495871	8.87061
385	0.00675875	1.31923	0.495292	8.88432
386	0.00518752	1.31779	0.494998	8.89799
387	0.00458918	1.31633	0.49614	8.9117
388	0.0051914	1.3149	0.496265	8.9254
389	0.00572732	1.31351	0.496269	8.93907
390	0.00379775	1.31202	0.497105	8.95277
391	0.00246313	1.31048	0.498362	8.96651
392	0.00272296	1.30895	0.499504	8.98029
393	0.000939979	1.30734	0.500395	8.9941
394	0.00018446	1.3057	0.500233	9.00787
395	-0.000488931	1.30403	0.498677	9.02155
396	0.000421034	1.30241	0.497581	9.03515
397	0.00253045	1.3009	0.49828	9.04876
398	0.00244784	1.2994	0.497963	9.06234
399	-0.000458335	1.29775	0.499222	9.07597
400	-0.00104475	1.29609	0.500114	9.08961
401	-0.00217845	1.29437	0.499727	9.10322
402	-0.00228924	1.29265	0.499926	9.11682
403	-0.00308874	1.2909	0.500715	9.13044
404	-0.00224683	1.2892	0.501305	9.14407
405	-0.003602	1.28744	0.501884	9.15771
406	-0.00222393	1.28575	0.50291	9.17137
407	-0.00255945	1.28405	0.501958	9.18498
408	-0.00302002	1.28233	0.502389	9.19858
409	-0.00247983	1.28065	0.502745	9.21218
410	-0.00178848	1.27901	0.50242	9.22575
411	-0.000381101	1.27744	0.503133	9.23933
412	-0.00128835	1.27583	0.503478	9.25291
413	-0.000593827	1.27426	0.503402	9.26646
414	-0.000775474	1.27269	0.503283	9.27999
415	0.00131372	1.27123	0.504345	9.29356
416	0.0022724	1.26982	0.504327	9.3071
417	0.00328468	1.26847	0.503512	9.32059
418	0.00550426	1.26722	0.504951	9.33412
419	0.00437669	1.26593	0.505628	9.34767
420	0.00626042	1.26473	0.504935	9.36117
421	0.00711747	1.26358	0.505008	9.37466
422	0.00891478	1.26253	0.505691	9.38815
423	0.0101275	1.26153	0.505614	9.40163
424	0.0117335	1.26062	0.505914	9.4151
425	0.0141805	1.25983	0.507408	9.42862
426	0.0136213	1.25901	0.505133	9.44202
427	0.0115788	1.2581	0.506354	9.45545
428	0.0119602	1.25722	0.506694	9.46889
429	0.0108493	1.25628	0.506809	9.48231
430	0.00984098	1.2553	0.506624	9.4957
431	0.0100777	1.25433	0.506573	9.50907
432	0.00982033	1.25336	0.505747	9.52239
433	0.0115435	1.25247	0.506577	9.53573
434	0.0129349	1.25165	0.507045	9.54907
435	0.0118917	1.25079	0.507647	9.56242
436	0.0116743	1.24992	0.505914	9.57567
437	0.0127179	1.2491	0.50621	9.58892
438	0.0143864	1.24837	0.507115	9.60219
439	0.0137523	1.24761	0.506772	9.61543
440	0.0143129	1.24687	0.507575	9.62869
441	0.0142908	1.24614	0.507268	9.64192
442	0.0131024	1.24536	0.50714	9.65512
443	0.013759	1.24461	0.505535	9.66823
444	0.0139947	1.24388	0.506097	9.68135
445	0.0122605	1.24307	0.507429	9.69452
446	0.0102614	1.24217	0.507717	9.70768
447	0.0118061	1.24134	0.506824	9.72078
448	0.0120603	1.24053	0.505952	9.73382
449	0.0115475	1.23969	0.505406	9.74683
450	0.0119589	1.23889	0.5036	9.75973
451	0.0118332	1.23807	0.502605	9.77256
452	0.0113904	1.23724	0.503051	9.7854
453	0.0128338	1.23648	0.503994	9.79827
454	0.0127109	1.23572	0.503532	9.8111
455	0.0104924	1.23486	0.503459	9.82391
456	0.0106047	1.23401	0.50252	9.83666
457	0.0116679	1.23321	0.503479	9.84944
458	0.0110233	1.23238	0.503189	9.86219
459	0.010916	1.23155	0.501473	9.87485
460	0.00994327	1.23068	0.501948	9.88751
461	0.0116657	1.22989	0.503142	9.90021
462	0.0100003	1.22903	0.503594	9.91291
463	0.00962722	1.22816	0.503653	9.9256
464	0.0076656	1.22719	0.504971	9.93834
465	0.00685842	1.2262	0.505514	9.95108
466	0.00626374	1.22517	0.505105	9.9638
467	0.00498898	1.2241	0.504263	9.97645
468	0.0048256	1.22302	0.504657	9.98911
469	0.00364886	1.22189	0.505391	10.0018
470	0.00271651	1.22072	0.506275	10.0145
471	0.00487748	1.21965	0.50786	10.0273
472	0.00615502	1.21864	0.507831	10.04
473	0.00477421	1.21758	0.507552	10.0527
474	0.00381771	1.21648	0.507483	10.0654
475	0.00297271	1.21534	0.506937	10.0781
476	0.00258798	1.21418	0.507071	10.0907
477	0.00227255	1.21302	0.50761	10.1034
478	0.00256311	1.21187	0.506483	10.1159
479	0.00210449	1.21071	0.507205	10.1286
480	0.0019918	1.20954	0.506857	10.1411
481	0.00358613	1.20845	0.507317	10.1537
482	0.00416808	1.20739	0.507012	10.1663
483	0.00317648	1.20629	0.50719	10.1788
484	0.00329546	1.2052	0.507731	10.1914
485	0.0055076	1.20421	0.507381	10.2039
486	0.00616998	1.20325	0.508235	10.2164
487	0.00540033	1.20227	0.508749	10.229
488	0.0062696	1.20132	0.509424	10.2416
489	0.00608917	1.20037	0.510081	10.2541
490	0.00845459	1.19954	0.511889	10.2668
491	0.0106174	1.1988	0.51226	10.2794
492	0.0106897	1.19806	0.511422	10.292
493	0.00997535	1.1973	0.511424	10.3046
494	0.0100946	1.19655	0.510377	10.3172
495	0.00879856	1.19574	0.510046	10.3296
496	0.007393	1.19487	0.510879	10.3422
497	0.00764442	1.19401	0.511536	10.3547
498	0.00683482	1.19312	0.511114	10.3672
499	0.0073452	1.19226	0.510099	10.3796
500	0.0079334	1.19143	0.509667	10.392
501	0.0077676	1.19059	0.508594	10.4044
502	0.0069936	1.18972	0.507972	10.4167
503	0.00744974	1.18887	0.507156	10.4289
504	0.0066867	1.18799	0.507215	10.4412
505	0.00774908	1.18716	0.507385	10.4534
506	0.0069356	1.1863	0.507888	10.4656
507	0.00727761	1.18546	0.508204	10.4779
508	0.0067592	1.1846	0.508075	10.4901
509	0.00705097	1.18375	0.508172	10.5023
510	0.00778595	1.18294	0.506085	10.5144
511	0.00769592	1.18212	0.506447	10.5265
512	0.00848428	1.18135	0.507213	10.5386
513	0.00727307	1.18052	0.507889	10.5508
514	0.00698768	1.17968	0.507946	10.5629
515	0.00949504	1.17896	0.510115	10.5751
516	0.0110828	1.17831	0.510884	10.5874
517	0.00915029	1.17757	0.512344	10.5997
518	0.00800625	1.17679	0.513074	10.612
519	0.00971134	1.17609	0.512379	10.6242
520	0.0101018	1.1754	0.511947	10.6364
521	0.00910253	1.17467	0.511143	10.6486
522	0.00943423	1.17397	0.511181	10.6608
523	0.00932344	1.17325	0.511015	10.6729
524	0.0075761	1.17247	0.511485	10.6851
525	0.00675253	1.17165	0.511652	10.6972
526	0.00879715	1.17092	0.511532	10.7094
527	0.00819988	1.17017	0.511553	10.7215
528	0.00655224	1.16935	0.512622	10.7336
529	0.0072788	1.16857	0.512383	10.7457
530	0.00734532	1.16779	0.511703	10.7578
531	0.0075543	1.16702	0.511307	10.7699
532	0.007418	1.16624	0.509626	10.7818
533	0.00656601	1.16544	0.509462	10.7938
534	0.00613356	1.16462	0.50906	10.8057
535	0.00577603	1.16378	0.509168	10.8176
536	0.00614222	1.16296	0.509272	10.8295
537	0.00681436	1.16218	0.509429	10.8414
538	0.00642385	1.16138	0.509247	10.8533
539	0.00648775	1.16058	0.509286	10.8651
540	0.00764247	1.15984	0.509075	10.877
541	0.00896491	1.15916	0.507787	10.8887
542	0.0090435	1.15848	0.50664	10.9004
543	0.00856522	1.15778	0.507346	10.9122
544	0.00733716	1.15703	0.50774	10.9239
545	0.00664494	1.15626	0.50832	10.9356
546	0.00862048	1.15557	0.509692	10.9474
547	0.00959227	1.15493	0.510006	10.9592
548	0.0114801	1.15437	0.509015	10.971
549	0.0109742	1.15379	0.508536	10.9827
